"scenario","run_id","nobs","npredictors","run_number","Model","s0","s1","lambda","gamma","converged","iterations","TP","FP","TN","FN","TP_indep","FP_indep","TN_indep","FN_indep","TP_strong","FP_strong","TN_strong","FN_strong","TP_weak","FP_weak","TN_weak","FN_weak"
"scenarioB","p25_scenarioB_run30",200,25,30,"SSL",0.0135469573463399,0.2,NA,NA,TRUE,5,5,0,20,0,1,0,12,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run30",200,25,30,"LASSO",NA,NA,0.0671805578970496,NA,TRUE,NA,4,1,19,1,1,0,12,0,1,0,4,1,2,1,3,0
"scenarioB","p25_scenarioB_run31",200,25,31,"SSL",0.0116710184315546,0.2,NA,NA,TRUE,5,4,0,20,1,1,0,12,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run31",200,25,31,"LASSO",NA,NA,0.0606567149909842,NA,TRUE,NA,4,1,19,1,1,0,12,0,1,0,4,1,2,1,3,0
"scenarioB","p25_scenarioB_run32",200,25,32,"SSL",0.0116710184315546,0.2,NA,NA,TRUE,8,5,4,16,0,1,2,10,0,2,1,3,0,2,1,3,0
"scenarioB","p25_scenarioB_run32",200,25,32,"LASSO",NA,NA,0.091881243748675,NA,TRUE,NA,3,1,19,2,1,0,12,0,0,0,4,2,2,1,3,0
"scenarioB","p25_scenarioB_run33",200,25,33,"SSL",0.0195011973668021,0.2,NA,NA,TRUE,11,5,1,19,0,1,0,12,0,2,1,3,0,2,0,4,0
"scenarioB","p25_scenarioB_run33",200,25,33,"LASSO",NA,NA,0.096105923323236,NA,TRUE,NA,3,1,19,2,1,0,12,0,0,0,4,2,2,1,3,0
"scenarioB","p25_scenarioB_run34",200,25,34,"SSL",0.0154228962611252,0.2,NA,NA,TRUE,5,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run34",200,25,34,"LASSO",NA,NA,0.0743698920054353,NA,TRUE,NA,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run35",200,25,35,"SSL",0.0195011973668021,0.6,NA,NA,TRUE,5,5,0,20,0,1,0,12,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run35",200,25,35,"LASSO",NA,NA,0.0611175845088308,NA,TRUE,NA,5,2,18,0,1,1,11,0,2,0,4,0,2,1,3,0
"scenarioB","p25_scenarioB_run36",200,25,36,"SSL",0.00678987822677805,0.2,NA,NA,TRUE,5,5,6,14,0,1,4,8,0,2,0,4,0,2,2,2,0
"scenarioB","p25_scenarioB_run36",200,25,36,"LASSO",NA,NA,0.0319834210962878,NA,TRUE,NA,5,10,10,0,1,7,5,0,2,0,4,0,2,3,1,0
"scenarioB","p25_scenarioB_run37",200,25,37,"SSL",0.000426286230746624,1,NA,NA,TRUE,5,5,5,15,0,1,4,8,0,2,1,3,0,2,0,4,0
"scenarioB","p25_scenarioB_run37",200,25,37,"LASSO",NA,NA,0.0636612642572569,NA,TRUE,NA,4,0,20,1,1,0,12,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run38",200,25,38,"SSL",0.0122733895486521,0.2,NA,NA,TRUE,5,5,2,18,0,1,2,10,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run38",200,25,38,"LASSO",NA,NA,0.0474927152866122,NA,TRUE,NA,5,5,15,0,1,5,7,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run39",200,25,39,"SSL",0.000454208868147816,0.2,NA,NA,TRUE,5,5,15,5,0,1,9,3,0,2,3,1,0,2,3,1,0
"scenarioB","p25_scenarioB_run39",200,25,39,"LASSO",NA,NA,0.0365402662247911,NA,TRUE,NA,5,10,10,0,1,8,4,0,2,0,4,0,2,2,2,0
"scenarioB","p25_scenarioB_run40",200,25,40,"SSL",0.000441336279129696,0.2,NA,NA,TRUE,5,3,3,17,2,1,1,11,0,0,1,3,2,2,1,3,0
"scenarioB","p25_scenarioB_run40",200,25,40,"LASSO",NA,NA,0.076210563843958,NA,TRUE,NA,3,4,16,2,1,2,10,0,0,1,3,2,2,1,3,0
"scenarioB","p25_scenarioB_run41",200,25,41,"SSL",0.000434218656766025,0.2,NA,NA,TRUE,5,3,2,18,2,1,0,12,0,0,0,4,2,2,2,2,0
"scenarioB","p25_scenarioB_run41",200,25,41,"LASSO",NA,NA,0.0925360527146029,NA,TRUE,NA,3,2,18,2,1,0,12,0,0,0,4,2,2,2,2,0
"scenarioB","p25_scenarioB_run42",200,25,42,"SSL",0.000434218656766025,1.4,NA,NA,TRUE,5,5,3,17,0,1,2,10,0,2,0,4,0,2,1,3,0
"scenarioB","p25_scenarioB_run42",200,25,42,"LASSO",NA,NA,0.0407325776907163,NA,TRUE,NA,5,4,16,0,1,3,9,0,2,0,4,0,2,1,3,0
"scenarioB","p25_scenarioB_run43",200,25,43,"SSL",0.0138711888917995,0.2,NA,NA,TRUE,5,5,2,18,0,1,2,10,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run43",200,25,43,"LASSO",NA,NA,0.0573031654000056,NA,TRUE,NA,5,2,18,0,1,2,10,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run44",200,25,44,"SSL",0.00842479936152805,0.2,NA,NA,TRUE,5,3,2,18,2,1,1,11,0,0,0,4,2,2,1,3,0
"scenarioB","p25_scenarioB_run44",200,25,44,"LASSO",NA,NA,0.113210163108303,NA,TRUE,NA,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run45",200,25,45,"SSL",0.0131455377967901,0.2,NA,NA,TRUE,5,5,1,19,0,1,1,11,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run45",200,25,45,"LASSO",NA,NA,0.0446112061922043,NA,TRUE,NA,5,4,16,0,1,2,10,0,2,1,3,0,2,1,3,0
"scenarioB","p25_scenarioB_run46",200,25,46,"SSL",0.00267964504790799,0.2,NA,NA,TRUE,5,5,7,13,0,1,3,9,0,2,2,2,0,2,2,2,0
"scenarioB","p25_scenarioB_run46",200,25,46,"LASSO",NA,NA,0.0677639939110321,NA,TRUE,NA,5,2,18,0,1,1,11,0,2,0,4,0,2,1,3,0
"scenarioB","p25_scenarioB_run47",200,25,47,"SSL",0.0164233124923095,0.6,NA,NA,TRUE,5,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run47",200,25,47,"LASSO",NA,NA,0.0885092532633246,NA,TRUE,NA,4,1,19,1,1,0,12,0,1,0,4,1,2,1,3,0
"scenarioB","p25_scenarioB_run48",200,25,48,"SSL",0.0104244276442234,0.2,NA,NA,TRUE,5,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run48",200,25,48,"LASSO",NA,NA,0.0795160423149602,NA,TRUE,NA,3,3,17,2,1,2,10,0,0,1,3,2,2,0,4,0
